99EPAD_933  Body Imaging
RID10568    test bolus technique
RID10569    imaging plane
RID10570    coronal plane
RID10571    longitudinal plane
RID10573    oblique plane
RID10574    sagittal plane
RID10579    axial plane
RID10583    angular tube current modulation
RID10597    CT detector
RID1060     pterygoid plexus
RID10602    stationary
RID10603    rotating
RID10604    translation
RID10605    scanning electron beam
RID10607    CT projection radiograph
RID10623    exact reconstruction
RID10624    iterative reconstruction
RID10626    smooth kernel
RID10632    sharp kernel
RID10640    birdcage coil
RID10641    solenoid coil
RID10649    Helmholtz coil
RID10674    inversion recovery
RID10675    saturation recovery
RID10676    T2 prep
RID10685    fat saturation
RID10687    water saturation
RID10691    spectral inversion
RID10693    fat inversion
RID10699    magnetization transfer
RID107      lower esophageal mucosal ring
RID10700    spatial saturation
RID10704    spin labeling
RID10705    driven equilibrium
RID10715    tagging pulse
RID10719    velocity-encoding gradient
RID10720    bipolar gradient
RID10722    diffusion weighting
RID10724    gradient moment nulling
RID10727    spin lock
RID10735    radiofrequency spoiling
RID10737    gradient spoiling
RID10739    gradient echo
RID10740    conventional gradient echo
RID10741    fast gradient echo
RID10742    gradient and spin echo
RID10744    echo planar
RID10746    spin echo
RID10749    fast-spin echo
RID10756    conventional spin echo
RID10757    k-space trajectory
RID10767    radial k-space trajectory
RID10772    VIPR k-space trajectory
RID10773    spiral k-space trajectory
RID10779    PROPELLER
RID10782    k-space segmentation
RID10784    k-space segmented
RID10785    k-space filter
RID1079     vertebral vein
RID10792    intermediate weighted
RID10794    T1 weighted
RID10795    T2 weighted
RID10796    T2* weighted
RID10799    diffusion weighted
RID10806    microscopy coil
RID10808    endoluminal coil
RID10809    endorectal coil
RID10810    endovascular coil
RID10812    interventional coil
RID10815    radiofrequency coil
RID10839    gradient coil
RID10844    shim coil
RID10854    curved transducer
RID10855    linear transducer
RID10867    ultrasound transducer
RID10868    mechanical transducer
RID10877    linear array transducer
RID10884    single crystal transducer
RID10887    curved linear array transducer
RID10891    endovaginal transducer
RID10895    transesophageal transducer
RID10897    curved array transducer
RID10898    phased array transducer
RID10903    A-mode ultrasound
RID10904    B-mode ultrasound
RID10907    C-mode ultrasound
RID10908    Doppler mode
RID10909    color Doppler mode
RID10910    power Doppler mode
RID10911    spectral Doppler mode
RID10913    harmonic ultrasound
RID10915    M-mode
RID10916    stimulated acoustic emission
RID10920    three dimensional ultrasound
RID10922    duplex ultrasound
RID10923    triplex ultrasound
RID10924    extended field of view ultrasound
RID10928    cine loop
RID10930    volume imaging
RID10932    elastography
RID10933    strain imaging
RID10935    collimator
RID10936    pinhole collimator
RID1094     cavernous sinus
RID10943    parallel hole collimator
RID10963    positron emission tomography camera
RID10965    gamma camera
RID10969    single detector
RID10970    multi-detector
RID10972    cadmium telluride
RID10973    cadmium zinc telluride
RID10983    PIN diode
RID10987    CT attenuation correction
RID10988    MR attenuation correction
RID10995    BGO
RID10997    LSO
RID10999    LYSO
RID11       exemplary quality
RID11001    GSO
RID11003    NaI
RID11006    anesthesia
RID11007    general anesthesia
RID11008    local anesthesia
RID11009    tumescent anesthesia
RID11010    regional anesthesia
RID11011    epidural anesthesia
RID11012    spinal anesthesia
RID11014    deep sedation
RID11015    moderate sedation
RID11016    mild sedation
RID11031    angioplasty
RID11032    track dilation
RID11034    cholangioplasty
RID11036    urinary tract dilatation
RID11039    compliant balloon
RID1104     central retinal vein
RID11041    cutting balloon
RID11046    balloon catheter
RID11050    high-pressure balloon
RID11051    low-pressure balloon
RID11053    hydrophilic wire
RID11055    stiff wire
RID11065    direct application
RID11073    test bolus
RID11075    immediate complication
RID11076    early complication
RID11077    late complication
RID11079    enhancement phase
RID11080    arterial phase
RID11081    delayed phase
RID11082    early arterial phase
RID11083    early venous phase
RID11084    late venous phase
RID11085    portal venous phase
RID11086    unenhanced phase
RID11087    route of administration
RID11090    buccal
RID11091    conjunctival
RID11092    cutaneous
RID11093    dental
RID11095    endocervical
RID11098    endotracheal
RID11099    enteral
RID11102    extracorporeal
RID11103    hemodialysis
RID11104    infiltration route
RID11106    intra-abdominal
RID11107    intra-amniotic
RID11108    intra-arterial
RID11109    intra-articular
RID11110    intrabiliary
RID11111    intrabronchial
RID11112    intrabursal
RID11113    intracardiac
RID11116    intracavernous
RID11117    intracavitary
RID11118    intracerebral
RID11119    intracisternal
RID11120    intracorneal
RID11122    intracoronary
RID11124    intradermal
RID11125    intradiscal
RID11126    intraductal
RID11127    intraduodenal
RID11128    intradural
RID11129    intraepidermal
RID11131    intragastric
RID11134    intralesional
RID11135    intraluminal
RID11136    intralymphatic
RID11137    intramedullary
RID11139    intramuscular
RID11140    intraocular
RID11141    intraovarian
RID11142    intrapericardial
RID11144    intrapleural
RID11145    intraprostatic
RID11146    intrapulmonary
RID11148    intraspinal
RID11149    intrasynovial
RID11150    intratendinous
RID11151    intratesticular
RID11153    intrathoracic
RID11155    intratubular
RID11156    intratumor
RID11157    intratympanic
RID11158    intrauterine
RID11159    intravascular
RID11160    intravenous
RID11161    intravenous bolus
RID11163    intraventricular
RID11164    intravesical
RID11165    intravitreal
RID11166    iontophoresis
RID11167    irrigation
RID11168    laryngeal
RID11169    nasal
RID11170    nasogastric
RID11172    ophthalmic
RID11173    oral
RID11174    oropharyngeal
RID11175    parenteral
RID11176    percutaneous
RID11179    perineural
RID11180    periodontal
RID11181    rectal
RID11182    respiratory
RID11184    retrobulbar
RID11186    soft tissue administration
RID11187    subconjunctival
RID11188    subcutaneous
RID11190    sublingual
RID11191    submucosal
RID11192    topical
RID11193    transdermal
RID11194    transmucosal
RID11195    transplacental
RID11196    transtracheal
RID11197    transtympanic
RID11198    ureteral
RID11199    urethral
RID11200    vaginal
RID11202    cut down
RID11203    open surgical
RID11206    transpleural
RID11207    transarterial
RID11208    transvenous
RID11209    laparascopic
RID11210    endoscopic
RID11211    embolic agent
RID11213    absorbable gelatin sponge
RID11215    polyvinyl alcohol
RID11217    calibrated microspheres
RID11218    glue
RID1122     transverse sinus
RID11223    prospective gating
RID11224    retrospective gating
RID11225    volume rendering method
RID11226    orthographic volume rendering
RID11227    perspective volume rendering
RID11233    printed digital images
RID11234    images printed on film
RID11237    breathing control
RID11240    triggering
RID11241    respiratory triggering
RID11243    bellows
RID11245    cardiac triggering
RID11246    gating
RID11247    respiratory gating
RID11248    cardiac gating
RID11249    peripheral pulse gating
RID11254    imaging error
RID11258    no marker
RID11262    missing images
RID11273    image defect
RID11274    overexposure
RID11277    underexposure
RID1128     vein of Trolard
RID11280    noisy image
RID11281    suboptimal patient positioning
RID11286    double exposure
RID11287    noise artifact
RID11296    artifact
RID11308    patient motion
RID11314    intervening foreign body
RID11319    dose extravasation
RID1132     dose extravasation
RID11320    activity at injection site
RID11321    abnormal uptake kinetics
RID11324    streaking artifact
RID11325    ring artifact
RID11326    shading artifact
RID11327    beam hardening artifact
RID11329    scatter artifact
RID11332    cone-beam effect artifact
RID11334    metal artifact
RID11336    zipper artifact
RID11353    stripe artifact
RID11354    star artifact
RID11355    synchronous RF noise artifact
RID11368    magnetic field perturbation artifact
RID11374    chemical shift artifact
RID11388    aliasing artifact
RID11397    out of plane wrap around artifact
RID114      stomach
RID11403    suboptimal gradient artifact
RID11404    gradient nonlinearity
RID11407    eddy currents
RID11413    conductivity artifact
RID11424    smearing
RID11426    ghost
RID11438    flow-related artifact
RID11452    intravoxel dephasing
RID11458    flow-related ghost artifact
RID11460    stimulated echo ghost artifact
RID11470    truncation artifact
RID11481    partial volume averaging
RID11485    magic angle artifact
RID11486    off-resonance effect
RID11487    banding artifact
RID11489    saturation artifact
RID11496    technical success
RID11497    anatomic success
RID11498    hemodynamic success
RID11499    clinical success
RID115      gastric cardia
RID11502    technique effectiveness
RID11506    patency
RID11507    primary patency
RID11508    assisted primary patency
RID11509    secondary patency
RID11510    therapeutic response
RID11512    residual disease
RID11513    partial response
RID11514    stable disease
RID11515    progressive disease
RID11517    index tumor
RID1152     basal vein
RID11520    local tumor progression
RID11521    regression
RID11522    side effect
RID11524    morbidity
RID11525    complication
RID11528    infectious complication
RID11529    abscess complication
RID11534    cardiovascular complication
RID11535    myocardial infarction complication
RID11543    bleeding complication
RID11544    hematoma complication
RID11546    neurologic complication
RID11548    stroke complication
RID11549    pulmonary complication
RID11551    pneumothorax complication
RID11552    pulmonary embolism complication
RID1156     epidural venous plexus
RID11564    stricture complication
RID11565    response to treatment
RID11567    response to embolization
RID11568    absence of flow
RID1157     basivertebral venous plexus
RID11570    absence of bleeding
RID11572    patent vessel
RID11575    absence of thrombus
RID11582    contrast agent
RID11583    iodinated contrast agent
RID11585    ionic iodinated contrast agent
RID11588    barium sulfate suspension
RID11590    air contrast
RID11591    carbon dioxide contrast
RID11594    Xenon contrast
RID11595    water contrast
RID11596    oil contrast
RID11599    microbubbles contrast
RID116      gastric fundus
RID11604    targeted microbubbles
RID11610    paramagnetic agent
RID11611    ferric chloride
RID11612    ferric ammonium citrate
RID11613    gadolinium chelate
RID11616    gadoterate meglumine
RID11619    gadopentetate dimeglumine
RID11622    gadobenate dimeglumine
RID11626    gadofosveset trisodium
RID11629    gadodiamide
RID11631    gadoversetamide
RID11634    gadoteridol
RID11636    gadobutrol
RID11638    superparamagnetic contrast agent
RID11641    superparamagnetic iron oxide
RID11643    ferumoxides
RID11645    ultrasmall superparamagnetic iron oxide
RID11647    ferumoxtran-10
RID11661    blood pool contrast agent
RID11667    monoclonal antibody
RID11672    nitroxide
RID11675    ferrioxamine
RID11677    hepatobiliary contrast agent
RID11678    Manganese chloride
RID11689    Gadolinium oxide
RID1169     azygos vein
RID11692    radiopharmaceutical
RID11695    radioisotope
RID11697    investigational
RID117      body of stomach
RID1170     azygos arch
RID11701    Fluorine-18 fluorodeoxyglucose
RID11703    Gallium-67
RID11708    Indium-111 capromab pendetide
RID11710    Indium-111 pentetreotide
RID11720    I-131 metaiodobenzylguanidine
RID11722    P-32 chromic phosphate
RID11724    Rubidium-82
RID11727    Strontium-89
RID11728    Tc-99m pertechnetate
RID11729    Tc-99m apcitide
RID11737    Tc-99m macroaggregated albumin
RID11741    Tc-99m mertiatide
RID11745    Tc-99m Pyrophosphate
RID11749    Tc-99m sestamibi
RID11751    Tc-99m sulfur colloid
RID11752    Tc-99m tetrofosmin
RID11753    Thallium-201
RID11755    Xenon-133
RID11756    chemical element
RID11762    hydrogen
RID11764    helium
RID11766    lithium
RID11768    beryllium
RID1177     hemiazygous vein
RID11770    boron
RID11772    carbon
RID11774    nitrogen
RID11776    oxygen
RID11778    fluorine
RID1178     inferior vena cava
RID11780    neon
RID11782    sodium
RID11784    magnesium
RID11786    aluminum
RID11788    silicon
RID1179     hepatic vein
RID11790    phosphorus
RID11792    sulfur
RID11794    chlorine
RID11796    argon
RID11798    potassium
RID1180     left hepatic vein
RID11800    calcium
RID11802    scandium
RID11804    titanium
RID11808    chromium
RID1181     middle hepatic vein
RID11810    manganese
RID11812    iron
RID11814    cobalt
RID11816    nickel
RID11818    copper
RID1182     right hepatic vein
RID11820    zinc
RID11822    gallium
RID11824    germanium
RID11826    arsenic
RID11828    selenium
RID11830    bromine
RID11832    krypton
RID11834    rubidium
RID11836    strontium
RID11838    yttrium
RID1184     renal vein
RID11840    zirconium
RID11844    molybdenum
RID11846    technetium
RID11848    ruthenium
RID11850    rhodium
RID11852    palladium
RID11854    silver
RID11856    cadmium
RID11858    indium
RID11860    tin
RID11862    antimony
RID11866    iodine
RID11868    xenon
RID11870    cesium
RID11872    barium
RID11874    lanthanum
RID11876    cerium
RID11880    neodymium
RID11884    samarium
RID11886    europium
RID11888    gadolinium
RID11890    terbium
RID11892    dysprosium
RID11894    holmium
RID11896    erbium
RID11900    ytterbium
RID11902    lutetium
RID11904    hafnium
RID11906    tantalum
RID11908    tungsten
RID11910    rhenium
RID11912    osmium
RID11914    iridium
RID11916    platinum
RID11918    gold
RID1192     lumbar vein
RID11920    mercury
RID11922    thallium
RID11924    lead
RID11926    bismuth
RID1193     common iliac vein
RID11930    astatine
RID11932    radon
RID11936    radium
RID11938    actinium
RID1194     internal iliac vein
RID11940    thorium
RID11944    uranium
RID1195     external iliac vein
RID1196     common femoral vein
RID1199     femoral vein
RID11998    cranial nerve
RID12       diagnostic quality
RID12003    optic nerve
RID12007    canalicular part of optic nerve
RID12015    oculomotor nerve
RID1202     lesser saphenous vein
RID12024    trigeminal nerve
RID12029    trigeminal ganglion
RID12030    ophthalmic nerve
RID12053    maxillary nerve
RID1207     posterior tibial vein
RID12077    infraorbital nerve
RID1208     portal vein
RID1209     splenic vein
RID12112    mental nerve
RID12119    facial nerve
RID12123    canalicular segment of facial nerve
RID1215     cardiac vein
RID1216     coronary sinus
RID12187    vagus nerve
RID122      pylorus
RID12203    recurrent laryngeal nerve
RID12221    accessory nerve
RID1223     middle cardiac vein
RID12230    hypoglossal nerve
RID12244    tube potential
RID12249    target angle
RID12258    source-to-image distance
RID12262    source-to-object distance
RID12266    source-to-skin distance
RID12289    image hold
RID12290    spot image
RID12293    image overlay
RID12294    roadmap image
RID1231     pulmonary vein
RID12321    single source
RID12322    dual source
RID12323    multi-source
RID12337    scan mode
RID12344    tube current-time product
RID12350    linear attenuation coefficient
RID12351    fixed tube current
RID12355    acquisition field of view
RID12356    acquisition duration
RID12357    volume CT dose index
RID12359    CT dose length product
RID12366    table speed
RID12370    effective mAs
RID12372    beam collimation
RID12382    beam pitch
RID12395    half-scan
RID12398    section thickness
RID12402    section gap
RID12405    section interval
RID12418    continuous exposure
RID1243     thorax
RID12442    pulse sequence
RID1245     airway
RID12451    b-value
RID12458    inversion time
RID12463    echo time
RID12468    bandwidth
RID1247     trachea
RID12470    flip angle
RID12471    frequency matrix
RID1248     carina
RID1249     bronchus
RID12508    molecular imaging
RID12535    at rest
RID12536    during symptoms
RID12645    isotropic voxels
RID12646    near-isotropic voxels
RID12671    Fourier reconstruction
RID12673    discrete Fourier transform
RID12675    fast Fourier transform
RID12678    gridding
RID12681    magnitude reconstruction
RID12683    phase reconstruction
RID12686    phase unwrapping
RID12691    parallel imaging reconstruction
RID12693    GRAPPA reconstruction
RID12696    SENSE reconstruction
RID12698    apparent diffusion coefficient map
RID12701    fractional anisotropy map
RID12703    relative anisotropy map
RID12705    tractography
RID12707    cerebral blood flow map
RID12709    mean transit time map
RID12715    surface coil intensity correction
RID12716    gradient nonlinearity correction
RID12719    interpolation
RID12720    zero-filling
RID12726    partial Fourier reconstruction
RID12732    homodyne
RID12738    view-sharing
RID12740    keyhole
RID12741    TRICKS
RID12742    BRISK
RID12749    image fusion
RID12752    software image fusion
RID12755    parametric mapping
RID12756    subtraction imaging
RID12759    reformat procedure step
RID12760    intensity projection
RID12762    maximum intensity projection
RID12764    minimum intensity projection
RID12766    average intensity projection
RID12768    ray sum
RID12769    volume rendering
RID12772    curved planar reformation
RID12773    shaded surface display
RID12775    image segmentation
RID12776    image registration
RID12777    motion correction
RID12780    calculation
RID12785    signal intensity calculation
RID12787    time-activity curve
RID12790    quantitation
RID12792    calculated attenuation correction method
RID12793    filtering
RID12794    smoothing
RID12795    temporal smoothing
RID12796    spatial smoothing
RID12806    power injector
RID12809    manual injection
RID12814    drip infusion
RID12815    bolus infusion
RID12890    peel away sheath
RID12895    curved sheath
RID12899    hydrophilic dilator
RID12913    balloon material
RID12915    inflation pressure
RID12917    deployment technique
RID12925    basket retrieval
RID12927    snare retrieval
RID12932    core needle
RID12933    fine-needle aspiration
RID12935    forceps
RID12939    drainage device
RID12948    stasis of flow
RID12949    slow flow
RID12952    proximal embolization
RID12953    distal embolization
RID12959    iodized oil
RID1296     small airway component
RID12963    radiation dose
RID12973    electrode applicator
RID12982    bipolar applicator
RID13       limited quality
RID130      intestine
RID1301     lung
RID13021    continuous delivery
RID13025    suction
RID13027    clot disruption
RID13034    pressure
RID13035    flow
RID13042    dilution method
RID13043    transcutaneous Doppler
RID13046    retrograde
RID13047    antegrade
RID13055    single interpretation
RID13057    interpretation with CAD
RID13058    blinded interpretation
RID13060    imaging procedure
RID13066    area of interest
RID13070    priority
RID1310     middle lobe of lung
RID13159    patient identifier
RID13160    patient name
RID13161    medical record number
RID13162    patient date of birth
RID13163    patient age
RID13164    patient gender
RID13166    clinical information section
RID13169    comparison image
RID13173    Normal
RID13176    English
RID13177    Latin
RID13178    German
RID13183    arterial system
RID13184    venous system
RID13187    nerve plexus
RID13189    nerve
RID13191    ganglion
RID132      small intestine
RID13203    organ
RID13208    skeletal system
RID13209    musculoskeletal system
RID13211    pharynx
RID13212    Normal variant
RID13222    foramen
RID13232    condyle
RID13250    anatomical plane
RID13252    tubular structure
RID13253    set of cells
RID13257    membrane
RID13280    fascia
RID13284    face
RID13295    duct
RID13296    lymph node
RID13298    portion of tissue
RID13303    middle ear
RID13310    supracondylar process
RID13315    inguinal ligament
RID13320    master knot of henry
RID1333     lingula
RID13390    anatomical structure
RID134      duodenum
RID13421    salivary gland
RID13427    free edge of meniscus
RID13428    globular
RID13432    diameter
RID13433    subcentimeter
RID13437    lungs
RID13440    caliber
RID13446    peripheral nervous system
RID13449    cervical nerve
RID13451    lumbar nerve
RID13452    sacral nerve
RID1347     lung zone
RID135      duodenal bulb
RID1354     lower lung zone
RID1361     secondary pulmonary lobule
RID1362     pleura
RID1363     pleural space
RID137      second part of duodenum
RID1370     parietal pleura
RID1371     visceral pleura
RID1372     pleural fissure
RID13783    wall of arachnoid granulation
RID1384     mediastinum
RID1385     heart
RID1386     cardiac chamber
RID1389     right ventricle
RID1391     left atrial appendage
RID1392     left ventricle
RID1393     heart valve
RID1394     aortic valve
RID1395     mitral valve
RID1396     pulmonic valve
RID1397     tricuspid valve
RID1398     myocardium
RID1399     endocardium
RID14       non-diagnostic quality
RID1403     interatrial septum
RID1407     pericardium
RID1408     pericardial cavity
RID1413     transverse pericardial sinus
RID1424     fibrous pericardium
RID1426     epicardium
RID1429     pericardial fat pad
RID1430     thymus
RID1432     thoracic inlet
RID1433     anterior mediastinum
RID1434     anterior junction line
RID1439     retrosternal space
RID144      third part of duodenum
RID146      fourth part of duodenum
RID147      ligament of Treitz
RID148      jejunum
RID150      ileum
RID151      terminal ileum
RID152      large intestine
RID1524     diaphragm
RID1527     dome of diaphragm
RID153      ileocecal valve
RID1538     fat
RID154      cecum
RID1541     ascites
RID1543     blood
RID1545     chyle
RID1546     feces
RID1547     fluid
RID1548     gastric acid
RID1551     meconium
RID1552     mucus
RID1553     pancreatic secretion
RID1555     pus
RID1556     sebum
RID15567    cavity of brain
RID15568    lumen of central canal of spinal cord
RID1557     sweat
RID1559     procedure
RID156      cecal bascule
RID1560     surgical procedure
RID1561     cardiovascular surgery
RID1562     cardiac transplantation
RID1563     pediatric cardiac surgery
RID15637    induseum griseum
RID1565     Glenn shunt
RID15654    benign
RID15655    malignant
RID1566     Blalock-Taussig shunt
RID1567     Waterston shunt
RID1569     Norwood procedure
RID157      ascending colon
RID1570     arterial switch
RID1571     Fontan procedure
RID1573     ear surgery
RID1580     tympanoplasty
RID1583     cricopharyngeal myotomy
RID1584     colonic interposition
RID1585     diverticulectomy
RID15857    nerve trunk
RID1588     esophageal dilatation
RID1589     esophageal intubation
RID159      transverse colon
RID1591     esophageal varices therapy
RID1593     endoscopic sclerotherapy
RID1600     esophagectomy
RID1601     esophagogastrectomy
RID1602     gastroesophageal anastomosis
RID1604     Heller myotomy
RID1607     laryngectomy
RID1609     antrectomy
RID161      descending colon
RID1610     bariatric surgery
RID1611     adjustable gastric band
RID1612     horizontal gastroplasty
RID1613     vertical-banded gastroplasty
RID1615     gastric bypass
RID1617     gastric banding
RID1619     duodenal switch
RID162      sigmoid colon
RID1621     Billroth II procedure
RID1622     Collis gastroplasty
RID1623     cystogastrostomy
RID1624     pyloric exclusion
RID1625     gastric pouch
RID1626     gastric pull-through
RID1627     gastric resection
RID163      rectum
RID1630     gastroduodenostomy
RID1631     gastroenterostomy
RID1632     gastrojejunostomy
RID1633     gastropexy
RID1634     gastrostomy
RID1635     Nissen fundoplication
RID1636     pyloroplasty
RID1637     pyloromyotomy
RID1639     vagotomy
RID164      anus
RID1640     liver surgery
RID1641     hepatectomy
RID1642     hepatic lobectomy
RID1643     hepatic segmentectomy
RID1647     chemoembolization
RID1649     transplantation
RID165      anal sphincter
RID16515    neural network
RID1652     splenectomy
RID1653     splenorrhaphy
RID1655     pancreatic transplantation
RID1657     pancreaticoduodenectomy
RID1658     pancreatectomy
RID166      epiploic appendage
RID1663     Beger Procedure
RID1664     Frey procedure
RID167      haustra
RID1670     cholecystectomy
RID1671     cholecystostomy
RID1672     dropped gallstones
RID1674     sphincterotomy
RID1678     biliopancreatic diversion
RID168      appendix
RID1682     choledochocholedochostomy
RID1683     choledochoduodenostomy
RID1684     choledochojejunostomy
RID1685     hepaticojejunostomy
RID1686     small bowel surgery
RID1687     blind pouch
RID1688     blind loop
RID1690     enterectomy
RID1691     Enterotomy
RID1692     enterostomy
RID1693     ileostomy
RID1694     jejunostomy
RID1695     gastroileostomy
RID1696     ileal reservoir
RID17       perceptual difficulty
RID170      pancreas
RID1701     J pouch
RID1702     S pouch
RID1705     jejunoileal bypass
RID1706     plication
RID1708     stricturoplasty
RID1709     cystojejunostomy
RID171      head of pancreas
RID1710     colon surgery
RID1711     appendectomy
RID1712     cecostomy
RID1713     colonic resection
RID1715     anterior resection
RID1716     low anterior resection
RID1717     abdominoperineal resection
RID1718     right hemicolectomy
RID1719     left hemicolectomy
RID1720     total colectomy
RID1721     total proctocolectomy
RID1722     subtotal colectomy
RID1723     colostomy
RID1724     end colostomy
RID1725     loop colostomy
RID1728     Hartmann pouch
RID1729     bowel anastomosis
RID173      neck of pancreas
RID1732     ileocecectomy
RID1733     ileosigmoid anastomosis
RID1735     coloanal anastomosis
RID1736     mucous fistula
RID1737     polypectomy
RID174      body of pancreas
RID1740     omentectomy
RID1742     abdominoplasty
RID1743     herniorrhaphy
RID1744     kidney surgery
RID1745     nephrectomy
RID1746     nephrostomy
RID1747     pyeloplasty
RID1749     renal autotransplantation
RID175      tail of pancreas
RID1750     percutaneous nephrostolithotomy
RID1751     nephroureterectomy
RID1754     cryoablation
RID1756     adrenalectomy
RID1758     ureterostomy
RID176      pancreatic duct
RID1762     ureterectomy
RID1763     ureteroneocystostomy
RID1764     ureteral reimplantation
RID1765     ureterolysis
RID1766     endopyelotomy
RID1769     partial cystectomy
RID177      main pancreatic duct
RID1770     cystoprostatectomy
RID1771     cystectomy
RID1774     cystotomy
RID1775     vesicostomy
RID1777     urinary diversion
RID1778     ileal conduit
RID1783     Indiana pouch
RID1786     urethral surgery
RID1787     urethroplasty
RID1789     hypospadias repair
RID1790     urethrectomy
RID1793     prostate surgery
RID1794     prostatectomy
RID1795     androgen ablation therapy
RID1799     orchiectomy
RID18       Basic Perceptual Difficulty
RID1800     testicular prosthesis
RID1801     orchiopexy
RID1804     varicocelectomy
RID1805     vasectomy
RID1809     lymph node dissection
RID1810     lymphadenectomy
RID1812     salpingo-oophorectomy
RID18155    field H
RID1817     uterine artery embolization
RID1818     dilation and curettage
RID182      accessory pancreatic duct
RID1820     dilation and evacuation
RID1822     myomectomy
RID1823     Cesarean section
RID1825     abortion
RID18258    first sacral nerve
RID1826     hysterectomy
RID1830     vaginectomy
RID1832     episiotomy
RID1836     vaginal delivery
RID1837     orthopedic surgery
RID1839     vertebroplasty
RID1840     kyphoplasty
